date,ticker,permno,prc,vol,ret
2020-12-14,META,13407,274.19,16344724.0,0.00234
2020-12-15,META,13407,275.54999,23923009.0,0.00496
2020-12-16,META,13407,275.67001,15852717.0,0.000436
2020-12-17,META,13407,274.48001,16340810.0,-0.004317
2020-12-18,META,13407,276.39999,26626690.0,0.006995
2020-12-21,META,13407,272.79001,16502584.0,-0.013061
2020-12-22,META,13407,267.09,17247755.0,-0.020895
2020-12-23,META,13407,268.10999,14274639.0,0.003819
2020-12-24,META,13407,267.39999,6624701.0,-0.002648
2020-12-28,META,13407,277.0,23265734.0,0.035901
2020-12-29,META,13407,276.78,16351373.0,-0.000794
2020-12-30,META,13407,271.87,11887488.0,-0.01774
2020-12-31,META,13407,273.16,12853391.0,0.004745
2021-01-04,META,13407,268.94,15071626.0,-0.015449
2021-01-05,META,13407,270.97,9836115.0,0.007548
2021-01-06,META,13407,263.31,24273970.0,-0.028269
2021-01-07,META,13407,268.73999,15726072.0,0.020622
2021-01-08,META,13407,267.57001,18461320.0,-0.004354
2021-01-11,META,13407,256.84,30407959.0,-0.040102
2021-01-12,META,13407,251.09,26405192.0,-0.022388
2021-01-13,META,13407,251.64,19513870.0,0.00219
2021-01-14,META,13407,245.64,29670267.0,-0.023844
2021-01-15,META,13407,251.36,25171005.0,0.023286
2021-01-19,META,13407,261.10001,27971907.0,0.038749
2021-01-20,META,13407,267.48001,25105470.0,0.024435
2021-01-21,META,13407,272.87,20763061.0,0.020151
2021-01-22,META,13407,274.5,21929540.0,0.005974
2021-01-25,META,13407,278.01001,19045403.0,0.012787
2021-01-26,META,13407,282.04999,19308273.0,0.014532
2021-01-27,META,13407,272.14001,35139010.0,-0.035136
2021-01-28,META,13407,265.0,37543868.0,-0.026237
2021-01-29,META,13407,258.32999,30277802.0,-0.02517
2021-02-01,META,13407,262.01001,22865235.0,0.014245
2021-02-02,META,13407,267.07999,17259584.0,0.01935
2021-02-03,META,13407,266.64999,14207210.0,-0.00161
2021-02-04,META,13407,266.48999,16036438.0,-0.0006
2021-02-05,META,13407,268.10001,12436862.0,0.006042
2021-02-08,META,13407,266.57999,13725697.0,-0.00567
2021-02-09,META,13407,269.45001,14589056.0,0.010766
2021-02-10,META,13407,271.87,14624456.0,0.008981
2021-02-11,META,13407,270.39001,12833071.0,-0.005444
2021-02-12,META,13407,270.5,9078297.0,0.000407
2021-02-16,META,13407,273.97,15356910.0,0.012828
2021-02-17,META,13407,273.57001,12683003.0,-0.00146
