date,ticker,permno,prc,vol,ret
2020-12-14,NFLX,89393,522.41998,5758706.0,0.038154
2020-12-15,NFLX,89393,519.78003,3318588.0,-0.005053
2020-12-16,NFLX,89393,524.83002,3684221.0,0.009716
2020-12-17,NFLX,89393,532.90002,3188011.0,0.015376
2020-12-18,NFLX,89393,534.45001,4483432.0,0.002909
2020-12-21,NFLX,89393,528.90997,3883987.0,-0.010366
2020-12-22,NFLX,89393,527.33002,1893665.0,-0.002987
2020-12-23,NFLX,89393,514.47998,2386213.0,-0.024368
2020-12-24,NFLX,89393,513.96997,1140635.0,-0.000991
2020-12-28,NFLX,89393,519.12,2883914.0,0.01002
2020-12-29,NFLX,89393,530.87,4013587.0,0.022635
2020-12-30,NFLX,89393,524.59003,1870031.0,-0.01183
2020-12-31,NFLX,89393,540.72998,5363977.0,0.030767
2021-01-04,NFLX,89393,522.85999,4434735.0,-0.033048
2021-01-05,NFLX,89393,520.79999,3122217.0,-0.00394
2021-01-06,NFLX,89393,500.48999,5332547.0,-0.038998
2021-01-07,NFLX,89393,508.89001,3677543.0,0.016784
2021-01-08,NFLX,89393,510.39999,2960156.0,0.002967
2021-01-11,NFLX,89393,499.10001,3801431.0,-0.02214
2021-01-12,NFLX,89393,494.25,6028356.0,-0.009718
2021-01-13,NFLX,89393,507.79001,5011522.0,0.027395
2021-01-14,NFLX,89393,500.85999,4168514.0,-0.013647
2021-01-15,NFLX,89393,497.98001,5914780.0,-0.00575
2021-01-19,NFLX,89393,501.76999,12297862.0,0.007611
2021-01-20,NFLX,89393,586.34003,32557789.0,0.168543
2021-01-21,NFLX,89393,579.84003,11799982.0,-0.011086
2021-01-22,NFLX,89393,565.16998,7532728.0,-0.0253
2021-01-25,NFLX,89393,556.78003,7184259.0,-0.014845
2021-01-26,NFLX,89393,561.92999,5014791.0,0.00925
2021-01-27,NFLX,89393,523.28003,8620588.0,-0.068781
2021-01-28,NFLX,89393,538.59998,5937064.0,0.029277
2021-01-29,NFLX,89393,532.39001,4310239.0,-0.01153
2021-02-01,NFLX,89393,539.03998,3526144.0,0.012491
2021-02-02,NFLX,89393,548.15997,3739785.0,0.016919
2021-02-03,NFLX,89393,539.45001,3164654.0,-0.01589
2021-02-04,NFLX,89393,552.15997,5148985.0,0.023561
2021-02-05,NFLX,89393,550.78998,2367834.0,-0.002481
2021-02-08,NFLX,89393,547.91998,2784880.0,-0.005211
2021-02-09,NFLX,89393,559.07001,3685808.0,0.02035
2021-02-10,NFLX,89393,563.59003,3985510.0,0.008085
2021-02-11,NFLX,89393,557.59003,2715461.0,-0.010646
