date,ticker,permno,prc,vol,ret
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-14,JPM,47896,118.3,12112352.0,-0.010539
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-15,JPM,47896,120.32,12591419.0,0.017075
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-16,JPM,47896,120.67,11169364.0,0.002909
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-17,JPM,47896,119.67,11618001.0,-0.008287
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-18,JPM,47896,119.08,28954764.0,-0.00493
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
2020-12-21,JPM,47896,123.55,28323642.0,0.037538
